body_type,sex,diet,how_often_shower,heating_energy_source,transport,vehicle_type,social_activity,monthly_grocery_bill,frequency_of_traveling_by_air,vehicle_monthly_distance_km,waste_bag_size,waste_bag_weekly_count,how_long_tv_pc_daily_hour,how_many_new_clothes_monthly,how_long_internet_daily_hour,energy_efficiency,recycling,cooking_with,co2,type,country,year,coal_co2,oil_co2,gas_co2,cement_co2,flaring_co2,other_industry_co2
4,1,4,1,1,3,5,3,262.0,1,88.0,2,5.0,24.0,8.0,15.0,2,0,3,2024.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,3,3,5,1,157.0,1,73.0,3,4.0,1.0,42.0,22.0,1,4,5,1659.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,4,1,4,2,280.0,4,8320.0,4,5.0,9.0,0.0,4.0,2,11,8,3911.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,4,1,3,5,3,121.0,2,72.0,3,6.0,11.0,4.0,10.0,3,3,6,1204.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,2,1,3,5,2,174.0,4,9.0,2,2.0,1.0,40.0,15.0,3,8,13,2431.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,1,2,3,5,3,173.0,1,60.0,3,2.0,16.0,14.0,20.0,2,9,0,1640.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,4,3,3,5,3,199.0,1,13.0,3,5.0,17.0,6.0,15.0,1,4,5,1648.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1,2,4,3,5,1,94.0,3,32.0,4,6.0,15.0,5.0,17.0,2,3,3,1002.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,2,1,3,5,1,64.0,1,49.0,4,1.0,19.0,47.0,16.0,3,9,5,1771.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,4,2,2,5,1,100.0,4,1351.0,1,1.0,20.0,24.0,5.0,3,8,6,2028.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,3,1,2,5,2,240.0,4,1726.0,3,2.0,15.0,19.0,5.0,1,3,15,2540.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,1,2,2,5,3,245.0,2,1021.0,3,7.0,14.0,48.0,10.0,1,4,8,1386.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1,3,5,3,270.0,3,62.0,4,5.0,22.0,21.0,11.0,2,16,5,1679.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,1,4,1,2,2,294.0,4,9488.0,4,5.0,16.0,20.0,18.0,3,2,0,3141.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,3,4,2,5,1,87.0,4,1037.0,2,4.0,0.0,11.0,24.0,1,15,5,2627.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,2,4,1,2,1,209.0,2,9555.0,2,2.0,13.0,43.0,3.0,3,4,4,1188.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,4,2,1,1,1,124.0,2,9031.0,1,5.0,1.0,11.0,5.0,3,9,9,3174.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,3,3,2,5,3,276.0,1,1461.0,2,7.0,19.0,5.0,12.0,2,10,5,2327.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,1,4,3,5,1,90.0,4,39.0,3,3.0,22.0,7.0,9.0,3,12,12,1822.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,2,3,1,1,3,136.0,2,5033.0,3,6.0,0.0,43.0,24.0,1,12,15,2665.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,1,2,2,5,3,246.0,1,1065.0,1,4.0,22.0,43.0,7.0,3,13,5,2129.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,2,4,2,5,2,94.0,3,927.0,3,5.0,18.0,10.0,21.0,3,7,14,1425.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,3,2,1,3,1,253.0,1,2277.0,2,1.0,0.0,11.0,20.0,2,4,16,1690.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,3,3,3,5,1,200.0,3,97.0,3,7.0,13.0,18.0,0.0,2,10,13,1717.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,2,1,1,4,3,281.0,1,7272.0,2,2.0,4.0,38.0,5.0,1,7,3,4060.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,2,2,1,6,3,82.0,3,5260.0,1,3.0,14.0,18.0,17.0,1,9,8,3262.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,3,1,2,5,2,73.0,3,1750.0,1,1.0,9.0,30.0,12.0,3,7,5,1674.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,1,3,1,3,2,246.0,1,2998.0,4,4.0,0.0,36.0,3.0,2,10,12,3135.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,2,3,1,4,3,98.0,3,9147.0,1,5.0,1.0,49.0,20.0,3,9,6,4465.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,4,2,2,5,1,256.0,3,1947.0,1,3.0,23.0,33.0,8.0,2,0,16,1984.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,2,2,1,4,2,287.0,4,4885.0,2,1.0,21.0,21.0,3.0,3,13,6,3246.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,1,2,3,5,1,63.0,1,20.0,2,4.0,1.0,6.0,14.0,1,5,5,1351.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,2,1,3,5,2,158.0,2,23.0,1,1.0,24.0,33.0,2.0,1,2,16,1929.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,4,2,3,5,2,241.0,1,34.0,2,5.0,24.0,15.0,10.0,3,0,4,2719.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,4,1,3,5,1,176.0,1,59.0,2,1.0,11.0,41.0,19.0,3,14,15,2336.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,2,4,2,5,2,189.0,2,682.0,4,6.0,0.0,35.0,3.0,2,2,6,1270.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,2,3,3,5,2,214.0,2,10.0,2,6.0,20.0,12.0,24.0,3,2,13,1803.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,2,3,5,3,264.0,4,10.0,3,1.0,7.0,22.0,17.0,2,7,4,1816.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,4,1,1,6,3,213.0,2,7964.0,4,1.0,16.0,43.0,9.0,1,15,15,4638.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,4,1,1,3,2,281.0,3,3606.0,4,3.0,16.0,8.0,22.0,2,13,16,1909.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,2,3,2,5,3,280.0,1,536.0,2,2.0,2.0,30.0,1.0,3,16,14,2021.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,3,3,2,5,1,125.0,3,1564.0,2,5.0,4.0,15.0,23.0,1,10,11,1896.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,1,2,3,5,1,188.0,1,78.0,4,4.0,11.0,21.0,3.0,1,14,7,1770.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,4,3,5,2,251.0,2,98.0,4,1.0,12.0,47.0,3.0,1,12,13,1323.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,4,2,5,1,285.0,4,1820.0,4,1.0,21.0,24.0,9.0,3,16,2,2269.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,3,4,2,5,1,234.0,2,243.0,1,4.0,20.0,36.0,5.0,3,6,8,1918.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,1,3,2,5,3,91.0,4,1586.0,4,7.0,8.0,43.0,2.0,3,12,12,2477.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,3,3,5,1,118.0,1,11.0,2,3.0,6.0,10.0,16.0,1,14,15,1444.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,4,3,3,5,1,75.0,2,72.0,4,5.0,15.0,42.0,16.0,2,8,9,1254.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,3,2,2,5,1,134.0,2,1157.0,4,5.0,19.0,35.0,10.0,1,2,7,1411.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,1,4,2,5,2,282.0,2,1380.0,1,4.0,7.0,11.0,8.0,1,9,2,1605.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,2,2,1,4,2,110.0,2,5765.0,3,5.0,7.0,2.0,18.0,1,14,15,3054.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,2,3,3,5,1,202.0,4,92.0,1,6.0,9.0,16.0,14.0,3,0,2,2902.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,2,2,1,4,1,56.0,1,7797.0,2,7.0,22.0,8.0,15.0,3,9,15,4301.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,4,2,3,5,2,223.0,4,50.0,4,3.0,12.0,35.0,22.0,3,16,4,2308.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,3,4,1,6,2,202.0,1,7629.0,3,1.0,17.0,37.0,2.0,1,6,2,4132.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,1,4,1,6,3,114.0,1,2367.0,3,3.0,1.0,41.0,23.0,1,4,15,2993.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,4,1,6,2,141.0,1,3960.0,3,1.0,7.0,21.0,1.0,3,15,0,3098.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,4,1,3,5,3,236.0,3,42.0,1,2.0,19.0,15.0,10.0,3,13,0,1364.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,4,3,95.0,3,6455.0,2,1.0,15.0,31.0,14.0,3,8,6,2941.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,3,2,3,5,1,249.0,1,41.0,2,4.0,6.0,2.0,4.0,2,14,10,1349.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,1,3,3,5,2,213.0,2,71.0,3,1.0,24.0,17.0,16.0,3,9,10,1038.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,4,4,3,5,1,81.0,2,39.0,3,7.0,16.0,31.0,15.0,1,9,0,1815.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,3,1,3,5,1,91.0,4,50.0,1,1.0,13.0,29.0,24.0,1,3,5,2566.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,4,4,1,2,3,291.0,4,8707.0,3,3.0,2.0,23.0,23.0,2,6,12,2439.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,4,2,1,4,3,70.0,4,167.0,4,2.0,9.0,7.0,20.0,3,13,15,2056.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,3,3,2,5,2,89.0,4,631.0,3,7.0,2.0,0.0,18.0,2,5,3,2299.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,4,2,2,5,1,121.0,3,194.0,2,6.0,15.0,16.0,18.0,2,13,9,1492.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,1,1,3,5,2,198.0,3,46.0,3,1.0,12.0,45.0,17.0,1,8,11,1692.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,3,4,3,5,1,234.0,1,37.0,1,3.0,15.0,29.0,3.0,3,14,3,2581.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,2,4,3,5,3,84.0,3,31.0,2,2.0,0.0,1.0,1.0,2,3,2,950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,4,1,1,4,2,182.0,2,2880.0,4,5.0,10.0,9.0,1.0,2,8,4,1923.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,2,4,3,5,2,275.0,2,6.0,1,2.0,19.0,49.0,19.0,3,14,16,1751.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,3,1,3,5,3,228.0,4,40.0,4,6.0,1.0,35.0,7.0,2,2,13,2562.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,4,2,2,5,2,115.0,4,393.0,4,3.0,21.0,13.0,9.0,1,11,13,1758.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,1,3,2,5,1,157.0,1,191.0,3,4.0,2.0,44.0,12.0,2,9,10,2184.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,4,1,2,5,3,156.0,4,131.0,1,1.0,14.0,20.0,23.0,1,7,5,3009.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1,1,4,1,1,2,252.0,4,1419.0,2,5.0,8.0,43.0,20.0,3,9,7,3748.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,2,1,2,1,162.0,3,9159.0,4,7.0,2.0,26.0,16.0,1,0,10,1122.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,1,4,1,3,1,145.0,2,8016.0,4,3.0,21.0,14.0,16.0,1,13,11,2810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,2,3,5,1,214.0,2,87.0,3,3.0,24.0,32.0,23.0,1,16,10,1346.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,4,4,3,5,2,91.0,1,13.0,1,1.0,19.0,44.0,16.0,3,7,10,1695.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2,3,5,1,205.0,2,74.0,2,3.0,6.0,2.0,19.0,1,13,11,810.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,4,4,1,3,1,285.0,1,7743.0,1,3.0,1.0,33.0,4.0,3,14,8,2768.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,3,3,2,5,1,178.0,2,993.0,2,7.0,11.0,2.0,13.0,2,8,10,1033.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,4,1,2,5,3,236.0,3,1997.0,2,4.0,6.0,17.0,6.0,1,8,7,2046.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,3,1,1,2,1,286.0,3,2721.0,4,6.0,23.0,30.0,22.0,1,3,5,2171.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,1,3,5,2,108.0,3,5.0,3,7.0,21.0,0.0,4.0,3,15,12,1312.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,4,4,2,5,3,76.0,3,941.0,2,1.0,24.0,3.0,18.0,1,13,15,1209.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,3,1,1,1,3,270.0,1,8815.0,4,2.0,7.0,37.0,9.0,2,10,10,4017.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,3,4,1,2,2,146.0,3,3276.0,1,1.0,13.0,10.0,10.0,1,5,13,877.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,4,2,1,3,3,221.0,2,3309.0,3,5.0,8.0,16.0,20.0,3,14,10,1856.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,3,4,1,3,2,230.0,2,2623.0,3,2.0,20.0,31.0,12.0,1,3,10,2197.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,4,2,1,1,2,295.0,4,7915.0,2,1.0,15.0,10.0,18.0,2,15,15,4281.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,2,2,1,4,3,177.0,1,8897.0,4,3.0,17.0,3.0,24.0,3,2,7,3480.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,4,3,3,5,2,189.0,2,19.0,3,1.0,22.0,36.0,7.0,2,4,12,953.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1,1,3,1,2,2,174.0,1,3662.0,4,2.0,9.0,44.0,21.0,3,13,3,2046.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,4,1,1,6,1,193.0,2,611.0,2,6.0,12.0,37.0,5.0,2,6,5,2521.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,4,4,2,5,1,238.0,4,1431.0,2,6.0,1.0,33.0,3.0,3,14,7,3551.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,4,4,2,5,3,101.0,2,1978.0,3,3.0,14.0,36.0,11.0,3,15,2,1459.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,1,2,3,5,3,99.0,4,92.0,1,2.0,8.0,29.0,18.0,1,2,6,2492.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,1,1,2,5,1,71.0,4,1851.0,2,7.0,15.0,0.0,20.0,3,8,16,2761.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,4,4,2,5,3,232.0,3,1224.0,1,3.0,7.0,26.0,9.0,2,13,5,1500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,3,4,1,2,3,247.0,2,8219.0,1,5.0,18.0,2.0,5.0,2,2,15,1708.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,2,1,2,5,3,222.0,2,1390.0,1,4.0,19.0,2.0,7.0,1,10,3,1717.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,2,4,2,5,3,61.0,1,434.0,3,1.0,23.0,41.0,14.0,1,15,12,2135.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,2,4,1,3,3,137.0,2,7460.0,4,6.0,5.0,11.0,20.0,2,15,2,2042.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,3,4,3,5,1,157.0,3,15.0,4,1.0,20.0,50.0,18.0,2,11,2,1221.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,2,3,1,1,1,174.0,4,4686.0,1,2.0,0.0,47.0,2.0,1,8,10,3473.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,2,3,5,2,214.0,2,88.0,2,5.0,12.0,39.0,21.0,2,6,11,1378.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,2,2,3,5,3,214.0,4,40.0,1,2.0,21.0,43.0,2.0,3,12,3,2135.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,3,4,3,5,1,66.0,2,56.0,4,6.0,11.0,49.0,20.0,1,7,14,1464.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,2,1,3,5,3,123.0,4,14.0,1,6.0,22.0,2.0,22.0,3,13,12,2816.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,2,4,2,5,3,105.0,4,108.0,3,1.0,17.0,19.0,11.0,1,15,16,2210.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,2,3,1,2,2,125.0,2,5168.0,4,3.0,1.0,40.0,17.0,1,15,15,1552.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,3,1,1,6,1,280.0,1,672.0,4,3.0,24.0,34.0,18.0,1,12,16,2406.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,2,3,3,5,3,238.0,4,94.0,1,3.0,17.0,21.0,22.0,2,10,5,3004.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,1,4,1,6,3,270.0,3,3114.0,2,3.0,14.0,5.0,10.0,2,14,5,2540.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,4,3,1,4,1,80.0,3,7134.0,1,2.0,5.0,8.0,5.0,3,12,11,2424.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,3,1,1,1,3,276.0,3,8609.0,1,6.0,6.0,14.0,20.0,3,15,14,4000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
